,Unit Size,AMI,Monthly Rent,Units Available,Asset Limit,Household Size,Income Range,Min Income,Rent Burden at $50K
0,Studio,80% AREA MEDIAN INCOME,1757,2,"$124,240.00 ",1 people 2 people,"$65,109.00-$90,720.00 $65,109.00-$103,680.00",65109,42.168
1,1 Bedroom,,1875,4,,1 people 2 people 3 people,"$69,909.00-$90,720.00 $69,909.00-$103,680.00 $69,909.00-$116,640.00",69909,45
2,2 Bedroom,,2232,7,,2 people 3 people 4 people 5 people,"$84,069.00-$103,680.00 $84,069.00-$116,640.00 $84,069.00-$129,600.00 $84,069.00-$140,000.00",84069,53.568000000000005
3,Studio,130% AREA MEDIAN INCOME,3423,3,"$201,890.00 ",1 people 2 people,"$117,360.00-$147,420.00 $117,360.00-$168,480.00",117360,82.152
4,1 Bedroom,,3661,1,,1 people 2 people 3 people,"$125,520.00-$147,420.00 $125,520.00-$168,480.00 $125,520.00-$189,540.00",125520,87.864
5,2 Bedroom,,4376,4,,2 people 3 people 4 people 5 people,"$150,035.00-$168,480.00 $150,035.00-$189,540.00 $150,035.00-$210,600.00 $150,035.00-$227,500.00",150035,105.024
6,Studio,80% AREA MEDIAN INCOME,1869,16,"$124,240.00 ",1 people 2 people,"$68,949.00-$90,720.00 $68,949.00-$103,680.00",68949,44.856
7,1 Bedroom,,1993,27,,1 people 2 people 3 people,"$73,955.00-$90,720.00 $73,955.00-$103,680.00 $73,955.00-$116,640.00",73955,47.832
8,2 Bedroom,,2375,9,,2 people 3 people 4 people 5 people,"$88,972.00-$103,680.00 $88,972.00-$116,640.00 $88,972.00-$129,600.00 $88,972.00-$140,000.00",88972,56.99999999999999
9,Studio,130% AREA MEDIAN INCOME,3423,10,"$201,890.00 ",1 people 2 people,"$122,229.00-$147,420.00 $122,229.00-$168,480.00",122229,82.152
10,1 Bedroom,,3661,16,,1 people 2 people 3 people,"$131,143.00-$147,420.00 $131,143.00-$168,480.00 $131,143.00-$189,540.00",131143,87.864
11,2 Bedroom,,4376,6,,2 people 3 people 4 people 5 people,"$157,578.00-$168,480.00 $157,578.00-$189,540.00 $157,578.00-$210,600.00 $157,578.00-$227,500.00",157578,105.024